央视频道,#genre#
CETV1,http://144.255.44.237:4022/udp/239.21.2.7:5002

卫视频道,#genre#
广东卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gdws
广东卫视,http://tvbox6.icu/tv/migu.php?id=gdws
广东卫视,http://144.255.44.237:4022/udp/239.21.1.92:5002
广东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.95:11111
广东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.96:11111
浙江卫视,http://144.255.44.237:4022/udp/239.21.1.90:5002
浙江卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.52:11111
浙江卫视,http://27.46.65.10:17088/udp/239.0.1.79:1234
浙江卫视,http://119.32.12.17:2901/udp/224.1.100.52:11111
浙江卫视,http://nas.hssvm.com:8888/udp/225.1.1.112:5002
湖南卫视,http://27.46.65.10:17088/udp/239.0.1.78:8012
湖南卫视,http://144.255.44.237:4022/udp/239.21.1.158:5002
湖南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.97:11111
湖南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.98:11111
湖南卫视,http://wouu.net:9977/udp/239.93.0.88:5140
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
北京卫视,http://omnix.cn:4000/udp/225.1.8.21:8002
北京卫视,http://27.46.65.10:17088/udp/239.0.1.83:8024
北京卫视,http://119.32.12.17:2901/udp/224.1.100.100:11111
北京卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.99:11111
天津卫视,http://123.170.144.157:58888/udp/239.21.1.165:5002
天津卫视,http://144.255.44.237:4022/udp/239.21.1.165:5002
天津卫视,http://27.46.65.10:17088/udp/239.0.1.89:1234
天津卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.62:11111
天津卫视,http://nas.hssvm.com:8888/udp/225.1.1.111:5002
天津卫视,http://wouu.net:9977/udp/239.93.0.167:5140
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://8.138.7.223/tv/fjtv.php?id=5
东南卫视,http://144.255.44.237:4022/udp/239.21.1.113:5002
东南卫视,http://27.46.65.10:17088/udp/239.0.1.241:5109
东南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.55:11111
东南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.56:11111
东南卫视,http://wouu.net:9977/udp/239.93.0.42:5140
东方卫视,http://144.255.44.237:4022/udp/239.21.1.111:5002
东方卫视,http://27.46.65.10:17088/udp/239.0.1.82:8032
东方卫视,http://omnix.cn:4000/udp/225.1.8.45:8032
东方卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.48:11111
东方卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.47:11111
江苏卫视,http://27.46.65.10:17088/udp/239.0.1.80:8028
江苏卫视,http://144.255.44.237:4022/udp/239.21.1.89:5002
江苏卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.46:11111
江苏卫视,http://119.32.12.17:2901/udp/224.1.100.46:11111
江苏卫视,http://wouu.net:9977/udp/239.93.0.89:5140
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://144.255.44.237:4022/udp/239.21.1.159:5002
安徽卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.66:11111
安徽卫视,http://27.46.65.10:17088/udp/239.0.1.81:8064
安徽卫视,http://119.32.12.17:2901/udp/224.1.100.66:11111
安徽卫视,http://wouu.net:9977/udp/239.93.1.106:5140
安徽卫视,http://221.226.4.10:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://27.46.65.10:17088/udp/239.0.1.88:1234
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564
湖北卫视,http://144.255.44.237:4022/udp/239.21.1.163:5002
湖北卫视,http://119.32.12.17:2901/udp/224.1.100.68:11111
湖北卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.68:11111
